Total,	hetr,	hety,	
1000000,	3.284838e-14,	3.186978e-14,	9.785920e-16,	
2000000,	1.018550e-13,	9.951849e-14,	2.336550e-15,	
3000000,	2.028374e-13,	1.981890e-13,	4.648380e-15,	
4000000,	3.160393e-13,	3.080704e-13,	7.968925e-15,	
5000000,	4.326780e-13,	4.204053e-13,	1.227276e-14,	
6000000,	5.530436e-13,	5.354002e-13,	1.764344e-14,	
7000000,	6.760603e-13,	6.521429e-13,	2.391742e-14,	
8000000,	8.014063e-13,	7.707013e-13,	3.070499e-14,	
9000000,	9.288560e-13,	8.909745e-13,	3.788149e-14,	
10000000,	1.055202e-12,	1.009874e-12,	4.532819e-14,	
11000000,	1.180153e-12,	1.127103e-12,	5.304996e-14,	
12000000,	1.306213e-12,	1.245064e-12,	6.114921e-14,	
13000000,	1.433239e-12,	1.363734e-12,	6.950488e-14,	
14000000,	1.561291e-12,	1.483255e-12,	7.803591e-14,	
15000000,	1.690556e-12,	1.603812e-12,	8.674478e-14,	
16000000,	1.818929e-12,	1.723360e-12,	9.556915e-14,	
17000000,	1.944645e-12,	1.840269e-12,	1.043760e-13,	
18000000,	2.071233e-12,	1.957820e-12,	1.134129e-13,	
19000000,	2.198632e-12,	2.075980e-12,	1.226517e-13,	
20000000,	2.326848e-12,	2.194740e-12,	1.321079e-13,	
21000000,	2.455996e-12,	2.314100e-12,	1.418956e-13,	
22000000,	2.583622e-12,	2.431857e-12,	1.517650e-13,	
23000000,	2.709339e-12,	2.547652e-12,	1.616862e-13,	
24000000,	2.836060e-12,	2.664191e-12,	1.718692e-13,	
25000000,	2.963810e-12,	2.781423e-12,	1.823871e-13,	
26000000,	3.092612e-12,	2.899312e-12,	1.933001e-13,	
27000000,	3.220355e-12,	3.016005e-12,	2.043504e-13,	
28000000,	3.345397e-12,	3.130013e-12,	2.153845e-13,	
29000000,	3.471689e-12,	3.244688e-12,	2.270018e-13,	
30000000,	3.599287e-12,	3.360171e-12,	2.391154e-13,	
31000000,	3.725347e-12,	3.474162e-12,	2.511846e-13,	
32000000,	3.849600e-12,	3.586359e-12,	2.632406e-13,	
33000000,	3.975026e-12,	3.698996e-12,	2.760299e-13,	
34000000,	4.100691e-12,	3.811156e-12,	2.895354e-13,	
35000000,	4.222937e-12,	3.920024e-12,	3.029133e-13,	
36000000,	4.346341e-12,	4.029574e-12,	3.167667e-13,	
37000000,	4.471174e-12,	4.139658e-12,	3.315164e-13,	
38000000,	4.592115e-12,	4.245744e-12,	3.463713e-13,	
39000000,	4.711749e-12,	4.350336e-12,	3.614134e-13,	
40000000,	4.832517e-12,	4.455226e-12,	3.772903e-13,	
41000000,	4.953879e-12,	4.559776e-12,	3.941030e-13,	
42000000,	5.074432e-12,	4.662898e-12,	4.115342e-13,	
43000000,	5.196400e-12,	4.766434e-12,	4.299661e-13,	
