hetr,	hety,	
1000000,	350,	200,	
2000000,	1270,	460,	
3000000,	2840,	999,	
4000000,	4586,	1725,	
5000000,	6354,	2710,	
6000000,	8105,	3774,	
7000000,	9950,	5043,	
8000000,	11787,	6334,	
9000000,	13527,	7638,	
10000000,	15206,	8992,	
11000000,	16960,	10526,	
12000000,	18641,	11999,	
13000000,	20427,	13482,	
14000000,	22175,	14956,	
15000000,	23891,	16388,	
16000000,	25616,	17804,	
17000000,	27397,	19298,	
18000000,	29165,	20832,	
19000000,	30917,	22338,	
20000000,	32676,	23808,	
21000000,	34463,	25133,	
22000000,	36171,	26584,	
23000000,	37890,	28044,	
24000000,	39666,	29465,	
25000000,	41477,	30889,	
26000000,	43269,	32299,	
27000000,	45044,	33773,	
28000000,	46852,	35153,	
29000000,	48718,	36557,	
30000000,	50619,	37943,	
31000000,	52359,	39338,	
32000000,	54227,	40717,	
33000000,	56071,	42065,	
34000000,	57975,	43423,	
35000000,	59814,	44817,	
36000000,	61597,	46182,	
37000000,	63424,	47502,	
38000000,	65247,	48858,	
39000000,	67160,	50164,	
40000000,	69057,	51639,	
41000000,	70879,	52943,	
42000000,	72597,	54303,	
43000000,	74387,	55641,	
