aob	nob	het	eps	dead	
1.368762e-16	1.368762e-16	1.368762e-16	1.368762e-16	1.368762e-16	
aob	nob	het	eps	dead	
0.000000e+00	0.000000e+00	0.000000e+00	1.368762e-16	5.475049e-16	
0.000000e+00	0.000000e+00	0.000000e+00	1.368762e-16	5.475049e-16	
aob	nob	het	eps	dead	
0.000000e+00	0.000000e+00	0.000000e+00	1.368762e-16	5.475049e-16	
0.000000e+00	0.000000e+00	0.000000e+00	1.368762e-16	5.475049e-16	
aob	nob	het	eps	dead	
0.000000e+00	0.000000e+00	0.000000e+00	1.443594e-16	6.060809e-16	
0.000000e+00	0.000000e+00	0.000000e+00	1.443594e-16	6.060809e-16	
aob	nob	het	eps	dead	
0.000000e+00	0.000000e+00	0.000000e+00	1.443594e-16	6.060809e-16	
0.000000e+00	0.000000e+00	0.000000e+00	1.443594e-16	6.060809e-16	
aob	nob	het	eps	dead	
2.749590e-16	2.505498e-16	2.749590e-16	2.474697e-16	1.368762e-16	
5.523414e-16	4.586270e-16	5.523414e-16	4.945925e-16	1.368762e-16	
aob	nob	het	eps	dead	
2.749582e-16	2.505487e-16	2.749582e-16	2.474692e-16	1.368762e-16	
5.523344e-16	4.586178e-16	5.523343e-16	4.945872e-16	1.368762e-16	
aob	nob	het	eps	dead	
2.755648e-16	1.716696e-16	2.755648e-16	2.468539e-16	1.368762e-16	
5.547754e-16	2.182624e-16	5.547754e-16	4.915486e-16	1.368762e-16	
