aob	nob	comm	
8.242176e-16	5.221346e-16	7.934621e-16	
1.239371e-15	4.984388e-16	1.149007e-15	
1.861839e-15	4.767795e-16	1.662815e-15	
2.793846e-15	4.570729e-16	2.404609e-15	
4.187667e-15	4.399132e-16	3.474873e-15	
6.269645e-15	4.260281e-16	5.017790e-15	
9.375270e-15	4.167908e-16	7.239930e-15	
1.400339e-14	4.133439e-16	1.043780e-14	
2.089134e-14	4.139574e-16	1.503589e-14	
3.113144e-14	4.163152e-16	2.164216e-14	
4.633288e-14	4.212730e-16	3.112355e-14	
6.886655e-14	4.301360e-16	4.471774e-14	
1.022250e-13	4.445927e-16	6.419067e-14	
1.515281e-13	4.674961e-16	9.205156e-14	
2.242552e-13	5.025760e-16	1.318538e-13	
3.313013e-13	5.548968e-16	1.886166e-13	
4.884175e-13	6.311777e-16	2.693864e-13	
7.180845e-13	7.402862e-16	3.839584e-13	
1.051716e-12	8.937865e-16	5.456763e-13	
1.531187e-12	1.106269e-15	7.719764e-13	
